Card Name,Max Willing To Pay,Timeframe Tracking,Market Low Sale,Market High Sale,Market Total Sold,Seller,Condition,Price,Shipping,Total Cost,Within Budget
Dragonite (Movie Promo) - WoTC Promo (PR),$30.00,1 Year Snapshot,$16.00,$99.99,565,CollectorsClubMain,Lightly Played,$38.50,+ $0.99 Shipping,$39.49,NO
Dragonite (Movie Promo) - WoTC Promo (PR),$30.00,1 Year Snapshot,$16.00,$99.99,565,Wirth Playing,Lightly Played,$39.50,Shipping: Included,$39.50,NO
Dragonite (Movie Promo) - WoTC Promo (PR),$30.00,1 Year Snapshot,$16.00,$99.99,565,Victory Road OPKS,Lightly Played,$38.00,+ $1.99 Shipping,$39.99,NO
Dragonite (Movie Promo) - WoTC Promo (PR),$30.00,1 Year Snapshot,$16.00,$99.99,565,KitchenTableGamesFL,Lightly Played,$39.99,Free Shipping on Orders Over $50,$39.99,NO
Dragonite (Movie Promo) - WoTC Promo (PR),$30.00,1 Year Snapshot,$16.00,$99.99,565,CardSaverTCG,Lightly Played,$39.77,+ $0.99 Shipping,$40.76,NO
Dragonite (Movie Promo) - WoTC Promo (PR),$30.00,1 Year Snapshot,$16.00,$99.99,565,The Game Store AR,Lightly Played,$39.59,+ $1.49 Shipping,$41.08,NO
Dragonite (Movie Promo) - WoTC Promo (PR),$30.00,1 Year Snapshot,$16.00,$99.99,565,G-Biz,Lightly Played,$40.00,+ $1.31 Shipping,$41.31,NO
Dragonite (Movie Promo) - WoTC Promo (PR),$30.00,1 Year Snapshot,$16.00,$99.99,565,MPYF Games,Lightly Played,$39.83,+ $1.50 Shipping,$41.33,NO
Dragonite (Movie Promo) - WoTC Promo (PR),$30.00,1 Year Snapshot,$16.00,$99.99,565,PokeDispatchNC,Lightly Played,$39.86,+ $1.99 Shipping,$41.85,NO
Dragonite (Movie Promo) - WoTC Promo (PR),$30.00,1 Year Snapshot,$16.00,$99.99,565,DocCho,Lightly Played,$42.75,Shipping: Included,$42.75,NO
Gardevoir ex - 245/198 - SV01: Scarlet & Violet Base Set (SVI),$50.00,1 Year Snapshot,$41.99,$109.08,357,iChooseYou,Lightly Played Holofoil,$64.63,Free Shipping on Orders Over $50,$64.63,NO
Gardevoir ex - 245/198 - SV01: Scarlet & Violet Base Set (SVI),$50.00,1 Year Snapshot,$41.99,$109.08,357,Foil Me Once,Lightly Played Holofoil,$64.63,Free Shipping on Orders Over $50,$64.63,NO
Gardevoir ex - 245/198 - SV01: Scarlet & Violet Base Set (SVI),$50.00,1 Year Snapshot,$41.99,$109.08,357,Tcgdistricts,Lightly Played Holofoil,$63.65,+ $0.99 Shipping,$64.64,NO
Gardevoir ex - 245/198 - SV01: Scarlet & Violet Base Set (SVI),$50.00,1 Year Snapshot,$41.99,$109.08,357,Gilded Dragon,Lightly Played Holofoil,$63.00,+ $1.99 Shipping,$64.99,NO
